,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,W. & J. Graham's,10 Year Old Tawny Port N.V.,Portugal_Porto,4.1,$32.99,Port,Portugal,Porto,N.V.,Tawny
1,Taylor's,10 Year Old Tawny Port N.V.,Portugal_Porto,4.0,$27.99,Port,Portugal,Porto,N.V.,Tawny
2,W. & J. Graham's,20 Year Old Tawny Port N.V.,Portugal_Porto,4.3,$49.99,Port,Portugal,Porto,N.V.,Tawny
3,Taylor's,20 Year Old Tawny Port N.V.,Portugal_Porto,4.3,$49.97,Port,Portugal,Porto,N.V.,Tawny
4,Toro Albalá,Don PX Gran Reserva N.V.,Spain_Montilla-Moriles,4.4,$64.89,Port,Spain,Montilla-Moriles,N.V.,Port
5,Taylor's,Vintage Port N.V.,Portugal_Porto,4.5,$109.97,Port,Portugal,Porto,N.V.,Vintage
6,Gonzalez-Byass,Nectar Pedro Ximenez Sherry (Dulce) N.V.,Spain_Pedro Ximénez Sherry (PX),4.0,$32.99,Port,Spain,Pedro Ximénez Sherry (PX),N.V.,Sherry
7,W. & J. Graham's,Vintage Port N.V.,Portugal_Porto,4.4,$120.98,Port,Portugal,Porto,N.V.,Vintage
8,Dow's,Vintage Port N.V.,Portugal_Porto,4.5,$98.99,Port,Portugal,Porto,N.V.,Vintage
9,Fonseca,Guimaraens Vintage Port N.V.,Portugal_Porto,4.2,$47.99,Port,Portugal,Porto,N.V.,Vintage
10,Dow's,10 Years Old Tawny Port N.V.,Portugal_Porto,4.0,$29.99,Port,Portugal,Porto,N.V.,Tawny
11,Ramos Pinto,Quinta de Ervamoira 10 Year Old Tawny Port N.V.,Portugal_Porto,4.1,$34.97,Port,Portugal,Porto,N.V.,Tawny
12,Quinta do Noval,10 Year Old Tawny Port N.V.,Portugal_Porto,4.0,$33.99,Port,Portugal,Porto,N.V.,Tawny
13,Ramos Pinto,Late Bottled Vintage Port N.V.,Portugal_Porto,3.9,$25.29,Port,Portugal,Porto,N.V.,Vintage
