,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,Caymus,Cabernet Sauvignon N.V.,United States_Napa Valley,4.6,$79.05,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
1,The Prisoner,The Prisoner N.V.,United States_Napa Valley,4.4,$39.75,red,United States,Napa Valley,N.V.,Blend
2,Masi,Costasera Amarone della Valpolicella Classico N.V.,Italy_Amarone della Valpolicella Classico,4.3,$54.99,red,Italy,Amarone della Valpolicella Classico,N.V.,Valpolicella
3,Stag's Leap Wine Cellars,ARTEMIS Cabernet Sauvignon N.V.,United States_Napa Valley,4.3,$59.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
4,Banfi,Brunello di Montalcino N.V.,Italy_Brunello di Montalcino,4.2,$65.98,red,Italy,Brunello di Montalcino,N.V.,Brunello
5,Opus One,Opus One N.V.,United States_Napa Valley,4.6,$364.99,red,United States,Napa Valley,N.V.,Blend
6,Vega Sicilia,Valbuena 5º N.V.,Spain_Ribera del Duero,4.6,$159.48,red,Spain,Ribera del Duero,N.V.,Blend
7,Château Musar,Rouge (Gaston Hochar) N.V.,Lebanon_Bekaa Valley,4.2,$76.98,red,Lebanon,Bekaa Valley,N.V.,Blend
8,Alión,Ribera del Duero N.V.,Spain_Ribera del Duero,4.4,$86.88,red,Spain,Ribera del Duero,N.V.,Blend
9,Silver Oak,Napa Valley Cabernet Sauvignon N.V.,United States_Napa Valley,4.5,$119.80,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
10,Pintia,Toro N.V.,Spain_Toro,4.3,$60.48,red,Spain,Toro,N.V.,Blend
11,Almaviva,Almaviva N.V.,Chile_Puente Alto,4.6,$142.99,red,Chile,Puente Alto,N.V.,Blend
12,Tinto Pesquera,Crianza N.V.,Spain_Ribera del Duero,4.0,$29.68,red,Spain,Ribera del Duero,N.V.,Blend
13,Tenuta CastelGiocondo,Brunello di Montalcino N.V.,Italy_Brunello di Montalcino,4.2,$54.99,red,Italy,Brunello di Montalcino,N.V.,Brunello
