,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,Château d'Yquem,Sauternes 1990,France_Sauternes,4.8,$449.99,Dessert,France,Sauternes,1990,Sauternes
1,Château d'Yquem,Sauternes 2017,France_Sauternes,4.8,$365,Dessert,France,Sauternes,2017,Sauternes
2,Château d'Yquem,Sauternes 1996,France_Sauternes,4.7,$445,Dessert,France,Sauternes,1996,Sauternes
3,Château d'Yquem,Sauternes 2002,France_Sauternes,4.7,$375.99,Dessert,France,Sauternes,2002,Sauternes
4,Château d'Yquem,Sauternes 2008,France_Sauternes,4.7,$395,Dessert,France,Sauternes,2008,Sauternes
5,Château d'Yquem,Sauternes 2006,France_Sauternes,4.7,$324.99,Dessert,France,Sauternes,2006,Sauternes
6,Quintarelli Giuseppe,Recioto della Valpolicella Classico 2004,Italy_Recioto della Valpolicella,4.7,$284.99,Dessert,Italy,Recioto della Valpolicella,2004,Recioto
7,Dal Forno Romano,Vigna Seré Veneto Passito Rosso 2004,Italy_Veneto,4.7,$274.99,Dessert,Italy,Veneto,2004,Passito
8,Dal Forno Romano,Vigna Seré Veneto Passito Rosso 2003,Italy_Veneto,4.7,$349.99,Dessert,Italy,Veneto,2003,Passito
9,Kracher,Grande Cuvée Nummer 6 Nouvelle Vague Trockenbeerenauslese 2001,Austria_Burgenland,4.7,$75.99,Dessert,Austria,Burgenland,2001,Dessert
10,Avignonesi,Vin Santo di Montepulciano Occhio di Pernice 1994,Italy_Vin Santo di Montepulciano,4.6,$250,Dessert,Italy,Vin Santo di Montepulciano,1994,Vin Santo
11,Avignonesi,Vin Santo di Montepulciano N.V.,Italy_Vin Santo di Montepulciano,4.6,$219.98,Dessert,Italy,Vin Santo di Montepulciano,N.V.,Vin Santo
12,Château Rieussec,Sauternes (Premier Grand Cru Classé) 2001,France_Sauternes,4.6,$275,Dessert,France,Sauternes,2001,Sauternes
13,Avignonesi,Vin Santo di Montepulciano 2002,Italy_Vin Santo di Montepulciano,4.6,$219.98,Dessert,Italy,Vin Santo di Montepulciano,2002,Vin Santo
14,Jorge Ordóñez,No. 3 Old Vines 2005,Spain_Málaga,4.6,$67.99,Dessert,Spain,Málaga,2005,Dessert
15,Château de Fargues,Sauternes (Lur Saluces) 1990,France_Sauternes,4.6,$275,Dessert,France,Sauternes,1990,Sauternes
16,Donnafugata,Ben Ryé Passito di Pantelleria N.V.,Italy_Passito di Pantelleria,4.5,$38.48,Dessert,Italy,Passito di Pantelleria,N.V.,Passito
17,Dolce,Dolce (Late Harvest) N.V.,United States_Napa Valley,4.5,$52.78,Dessert,United States,Napa Valley,N.V.,Dessert
18,Donnafugata,Ben Ryé Passito di Pantelleria 2016,Italy_Passito di Pantelleria,4.5,$45,Dessert,Italy,Passito di Pantelleria,2016,Passito
19,Château Climens,Barsac (Premier Grand Cru Classé) 2005,France_Barsac,4.5,$165,Dessert,France,Barsac,2005,Barsac
20,Didier Dagueneau (Louis-Benjamin Dagueneau),Les Jardins de Babylone Moelleux 2011,France_Jurançon,4.5,$99.99,Dessert,France,Jurançon,2011,Moelleux
21,Eroica,Ice Wine Riesling 2013,United States_Columbia Valley,4.5,$63.99,Dessert,United States,Columbia Valley,2013,Riesling
22,Rocca di Montegrossi,Vin Santo del Chianti Classico 2007,Italy_Vin Santo del Chianti Classico,4.5,$75,Dessert,Italy,Vin Santo del Chianti Classico,2007,Vin Santo
23,Inniskillin,Riesling Icewine N.V.,Canada_Niagara Peninsula,4.4,$76.99,Dessert,Canada,Niagara Peninsula,N.V.,Icewine
24,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2009,France_Sauternes,4.4,$59.99,Dessert,France,Sauternes,2009,Sauternes
