,rating_counts
0,489
1,493
2,519
3,487
4,517
5,500
6,469
7,504
8,482
9,505
10,503
11,485
12,477
13,487
14,484
15,526
16,510
17,486
18,495
19,507
20,489
21,514
22,497
23,495
24,518
25,515
26,507
27,505
28,519
29,492
30,510
31,506
32,488
33,493
34,505
35,502
36,506
37,469
38,510
39,505
40,490
41,520
42,487
43,500
44,497
45,512
46,513
47,494
48,491
49,508
50,516
51,501
52,515
53,530
54,490
55,496
56,512
57,532
58,510
59,492
60,503
61,529
62,521
63,489
64,504
65,474
66,478
67,501
68,521
69,510
70,501
71,483
72,501
73,487
74,483
75,490
76,476
77,506
78,510
79,493
80,530
81,511
82,496
83,488
84,475
85,526
86,473
87,481
88,515
89,490
90,515
91,492
92,497
93,491
94,527
95,509
96,488
97,516
98,519
99,507
100,481
101,522
102,496
103,494
104,508
105,517
106,508
107,518
108,495
109,480
110,523
111,504
112,486
113,488
114,488
115,495
116,494
117,490
118,511
119,481
120,499
121,492
122,485
123,506
124,525
125,479
126,519
127,494
128,505
129,514
130,507
131,500
132,498
133,509
134,503
135,514
136,515
137,520
138,498
139,472
140,492
141,525
142,514
143,527
144,504
145,510
146,521
147,499
148,497
149,496
150,521
151,503
152,497
153,487
154,504
155,500
156,493
157,519
158,532
159,524
160,504
161,493
162,510
163,520
164,479
165,512
166,527
167,476
168,492
169,502
170,494
171,515
172,507
173,498
174,491
175,533
176,506
177,508
178,496
179,465
180,486
181,486
182,506
183,497
184,504
185,511
186,466
187,512
188,497
189,482
190,515
191,479
192,513
193,518
194,516
195,506
196,505
197,477
198,513
199,503
200,504
201,487
202,469
203,489
204,516
205,481
206,503
207,534
208,491
209,485
210,506
211,508
212,497
213,524
214,487
215,492
216,499
217,490
218,496
219,514
220,506
221,517
222,531
223,502
224,489
225,499
226,521
227,482
228,517
229,506
230,521
231,495
232,494
233,512
234,488
235,492
236,505
237,507
238,484
239,531
240,524
241,525
242,518
243,480
244,499
245,490
246,511
247,526
248,503
249,497
250,501
251,523
252,494
253,479
254,522
255,479
256,497
257,509
258,477
259,525
260,485
261,511
262,501
263,497
264,510
265,494
266,502
267,495
268,484
269,482
270,502
271,492
272,467
273,506
274,502
275,482
276,462
277,491
278,508
279,484
280,495
281,494
282,490
283,481
284,504
285,517
286,518
287,494
288,504
289,512
290,491
291,491
292,509
293,499
294,534
295,502
296,496
297,536
298,513
299,533
300,517
301,509
302,492
303,471
304,476
305,494
306,501
307,486
308,513
309,508
310,495
311,494
312,488
313,527
314,493
315,488
316,472
317,519
318,512
319,486
320,475
321,487
322,492
323,479
324,522
325,511
326,488
327,512
328,479
329,475
330,492
331,519
332,510
333,466
334,507
335,502
336,507
337,495
338,502
339,498
340,472
341,489
342,514
343,496
344,499
345,486
346,499
347,514
348,507
349,473
350,488
351,504
352,533
353,487
354,524
355,490
356,500
357,488
358,489
359,529
360,519
361,494
362,521
363,514
364,482
365,501
366,498
367,513
368,520
369,481
370,511
371,533
372,509
373,505
374,519
375,508
376,481
377,529
378,490
379,516
380,516
381,480
382,513
383,517
384,487
385,493
386,529
387,502
388,498
389,493
390,513
391,498
392,512
