,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,Château d'Esclans,Garrus Rosé 2017,France_Côtes de Provence,4.5,$99.99,Rose,France,Côtes de Provence,2017,Rosé
1,Gérard Bertrand,Clos du Temple 2018,France_Languedoc,4.5,$167.99,Rose,France,Languedoc,2018,Rosé
2,Château d'Esclans,Garrus Rosé N.V.,France_Côtes de Provence,4.4,$89.99,Rose,France,Côtes de Provence,N.V.,Rosé
3,Minuty,281 Rosé 2017,France_Provence,4.4,$171.99,Rose,France,Provence,2017,Rosé
4,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé 2018,France_Côtes de Provence,4.4,$29.99,Rose,France,Côtes de Provence,2018,Provence
5,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé N.V.,France_Côtes de Provence,4.3,$35.99,Rose,France,Côtes de Provence,N.V.,Provence
6,Minuty,Rosé et Or 2018,France_Côtes de Provence,4.3,$44.99,Rose,France,Côtes de Provence,2018,Rosé
7,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) 2017,France_Côtes de Provence,4.3,$49.99,Rose,France,Côtes de Provence,2017,Rosé
8,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2018,France_Côtes de Provence,4.3,$49.95,Rose,France,Côtes de Provence,2018,Rosé
9,R. López de Heredia Viña Tondonia,Gran Reserva Rosado 2009,Spain_Rioja Alta,4.3,$129.99,Rose,Spain,Rioja Alta,2009,Rosé
10,Scribe,Rosé of Pinot Noir 2018,United States_Sonoma Coast,4.3,$32.99,Rose,United States,Sonoma Coast,2018,Pinot
11,Gassier,Château Gassier 946 Sainte Victoire Sélection Parcellaire Rosé 2017,France_Côtes de Provence,4.2,$49.99,Rose,France,Côtes de Provence,2017,Rosé
12,Domaines Ott,Château de Selle Rosé (Coeur de Grain) N.V.,France_Côtes de Provence,4.2,$59.99,Rose,France,Côtes de Provence,N.V.,Rosé
13,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2017,France_Côtes de Provence,4.2,$45.99,Rose,France,Côtes de Provence,2017,Rosé
14,Château d'Esclans,Rock Angel Rosé 2018,France_Côtes de Provence,4.2,$34.99,Rose,France,Côtes de Provence,2018,Rosé
15,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2018,France_Bandol,4.2,$57.99,Rose,France,Bandol,2018,Rosé
16,Château d'Esclans,Whispering Angel Rosé 2019,France_Côtes de Provence,4.2,$67.99,Rose,France,Côtes de Provence,2019,Rosé
17,Robert Sinskey,Pinot Noir of Vin Gris 2018,United States_Los Carneros,4.2,$28.99,Rose,United States,Los Carneros,2018,Pinot
18,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2017,France_Bandol,4.2,$54.99,Rose,France,Bandol,2017,Rosé
19,Chêne Bleu,Rosé N.V.,France_Vaucluse,4.1,$29.99,Rose,France,Vaucluse,N.V.,Rosé
20,Domaine de Terrebrune,Terroir du Trias Delille Vigneron Bandol Rosé N.V.,France_Bandol,4.1,$32.98,Rose,France,Bandol,N.V.,Rosé
21,Barton & Guestier,Tourmaline Côtes de Provence 2018,France_Côtes de Provence,4.1,$26.99,Rose,France,Côtes de Provence,2018,Provence
22,Clos Cibonne,Tibouren Tradition Rosé 2017,France_Côtes de Provence,4.1,$32.99,Rose,France,Côtes de Provence,2017,Rosé
23,Ameztoi,Rubentis 2018,Spain_Getariako Txakolina,4.1,$25.99,Rose,Spain,Getariako Txakolina,2018,Rosé
24,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) 2018,France_Côtes de Provence,4.1,$49.95,Rose,France,Côtes de Provence,2018,Rosé
