,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,Dom Pérignon,Brut Champagne 1996,France_Champagne,4.7,$399,Sparkling,France,Champagne,1996,Brut
1,Dom Pérignon,P2 Plénitude Brut Champagne 2002,France_Champagne,4.7,$349.99,Sparkling,France,Champagne,2002,Brut
2,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 1998,France_Champagne,4.7,$299.99,Sparkling,France,Champagne,1998,Brut
3,Dom Pérignon,Brut Rosé Champagne 1993,France_Champagne,4.7,$450,Sparkling,France,Champagne,1993,Brut
4,Schramsberg,J. Schram Brut Rosé 2010,United States_North Coast,4.7,$177.99,Sparkling,United States,North Coast,2010,Brut
5,Louis Roederer,Cristal Brut Champagne (Millésimé) 2009,France_Champagne,4.6,$229.99,Sparkling,France,Champagne,2009,Brut
6,Louis Roederer,Cristal Brut Champagne (Millésimé) N.V.,France_Champagne,4.6,$279.99,Sparkling,France,Champagne,N.V.,Brut
7,Krug,Grande Cuvée Brut Champagne N.V.,France_Champagne,4.6,$159.99,Sparkling,France,Champagne,N.V.,Brut
8,Dom Pérignon,Brut Rosé Champagne N.V.,France_Champagne,4.6,$349.99,Sparkling,France,Champagne,N.V.,Brut
9,Dom Pérignon,Brut Champagne 2002,France_Champagne,4.6,$209,Sparkling,France,Champagne,2002,Brut
10,Pol Roger,Sir Winston Churchill Brut Champagne N.V.,France_Champagne,4.6,$319.99,Sparkling,France,Champagne,N.V.,Brut
11,Dom Pérignon,Brut Champagne 2008,France_Champagne,4.6,$169.99,Sparkling,France,Champagne,2008,Brut
12,Dom Pérignon,Brut Champagne N.V.,France_Champagne,4.6,$179.94,Sparkling,France,Champagne,N.V.,Brut
13,Louis Roederer,Cristal Brut Champagne (Millésimé) 2007,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2007,Brut
14,Louis Roederer,Cristal Brut Champagne (Millésimé) 2002,France_Champagne,4.6,$399.99,Sparkling,France,Champagne,2002,Brut
15,Louis Roederer,Cristal Brut Champagne (Millésimé) 2008,France_Champagne,4.6,$238,Sparkling,France,Champagne,2008,Brut
16,Louis Roederer,Cristal Brut Champagne (Millésimé) 2005,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2005,Brut
17,Krug,Brut Rosé Champagne N.V.,France_Champagne,4.6,$340,Sparkling,France,Champagne,N.V.,Brut
18,Bollinger,R.D Extra Brut Champagne (Récemment Dégorgé) 2002,France_Champagne,4.6,$199.99,Sparkling,France,Champagne,2002,Brut
19,Krug,Brut Champagne 2004,France_Champagne,4.6,$289.99,Sparkling,France,Champagne,2004,Brut
20,Dom Pérignon,Brut Rosé Champagne 2006,France_Champagne,4.6,$329.95,Sparkling,France,Champagne,2006,Brut
21,Pol Roger,Sir Winston Churchill Brut Champagne 2002,France_Champagne,4.6,$399.99,Sparkling,France,Champagne,2002,Brut
22,Bollinger,R.D Extra Brut Champagne (Récemment Dégorgé) 2004,France_Champagne,4.6,$249.98,Sparkling,France,Champagne,2004,Brut
23,Pol Roger,Sir Winston Churchill Brut Champagne 2008,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2008,Brut
24,Dom Pérignon,Brut Rosé Champagne 2002,France_Champagne,4.6,$389.99,Sparkling,France,Champagne,2002,Brut
25,Laurent-Perrier,Alexandra Champagne Rosé (Grande Cuvée) 2004,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2004,Rosé
26,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2004,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2004,Brut
27,Altaneve,Prosecco Superiore N.V.,Italy_Conegliano-Valdobbiadene Prosecco Superiore,4.6,$22.90,Sparkling,Italy,Conegliano-Valdobbiadene Prosecco Superiore,N.V.,Prosecco
28,Domaine Carneros,Le Rêve Blanc de Blancs 2012,United States_Los Carneros,4.6,$143.99,Sparkling,United States,Los Carneros,2012,Blanc de Blanc
29,Ruinart,Dom Ruinart Rosé Brut Champagne 2004,France_Champagne,4.6,$319.99,Sparkling,France,Champagne,2004,Brut
30,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2006,France_Champagne,4.6,$299.99,Sparkling,France,Champagne,2006,Brut
31,Alexandrie Cellars,Alexandrie Brut N.V.,United States_Rutherford,4.6,$26.99,Sparkling,United States,Rutherford,N.V.,Brut
32,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru 1998,France_Champagne Grand Cru,4.6,$149.99,Sparkling,France,Champagne Grand Cru,1998,Brut
33,Gramona,Cava Enoteca Finca La Plana Brut Nature 2001,Spain_Cava,4.6,$234.99,Sparkling,Spain,Cava,2001,Brut
34,Dom Pérignon,Lenny Kravitz Edition Brut Champagne 2008,France_Champagne,4.6,$199.95,Sparkling,France,Champagne,2008,Brut
35,Veuve Clicquot,La Grande Dame Brut Champagne N.V.,France_Champagne,4.5,$169.90,Sparkling,France,Champagne,N.V.,Brut
36,Dom Pérignon,Brut Champagne 2009,France_Champagne,4.5,$159.98,Sparkling,France,Champagne,2009,Brut
37,Dom Pérignon,Brut Champagne 2006,France_Champagne,4.5,$199.99,Sparkling,France,Champagne,2006,Brut
38,Laurent-Perrier,Grand Siècle Champagne (Grande Cuvée) N.V.,France_Champagne,4.5,$144.99,Sparkling,France,Champagne,N.V.,Champagne
39,Taittinger,Comtes de Champagne Blanc de Blancs 2006,France_Champagne,4.5,$189.99,Sparkling,France,Champagne,2006,Blanc de Blanc
40,Bollinger,La Grande Année Brut Champagne 2004,France_Champagne,4.5,$118.99,Sparkling,France,Champagne,2004,Brut
41,Veuve Clicquot,La Grande Dame Brut Champagne 2006,France_Champagne,4.5,$159.99,Sparkling,France,Champagne,2006,Brut
42,Piper-Heidsieck,Rare Brut Champagne (Millesimé) 2002,France_Champagne,4.5,$199.99,Sparkling,France,Champagne,2002,Brut
43,Taittinger,Comtes de Champagne Blanc de Blancs 2005,France_Champagne,4.5,$129.99,Sparkling,France,Champagne,2005,Blanc de Blanc
44,Dom Pérignon,Brut Rosé Champagne 2004,France_Champagne,4.5,$369.99,Sparkling,France,Champagne,2004,Brut
45,Taittinger,Comtes de Champagne Blanc de Blancs 2007,France_Champagne,4.5,$169.99,Sparkling,France,Champagne,2007,Blanc de Blanc
46,Perrier-Jouët,Belle Epoque Rosé Brut Champagne N.V.,France_Champagne,4.5,$300,Sparkling,France,Champagne,N.V.,Brut
47,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2006,Italy_Trento,4.5,$149.99,Sparkling,Italy,Trento,2006,Sparkling
48,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2005,Italy_Trento,4.5,$149.99,Sparkling,Italy,Trento,2005,Sparkling
49,Ferrari,'Giulio Ferrari' Riserva del Fondatore 2007,Italy_Trento,4.5,$134.99,Sparkling,Italy,Trento,2007,Sparkling
50,Bollinger,La Grande Année Brut Champagne 2008,France_Champagne,4.5,$149.99,Sparkling,France,Champagne,2008,Brut
