,user_values
0,519
1,481
2,493
3,514
4,476
5,492
6,529
7,513
8,527
9,506
10,497
11,507
12,515
13,478
14,495
15,511
16,491
17,498
18,499
19,521
20,514
21,490
22,525
23,487
24,499
25,497
26,488
27,485
28,493
29,504
30,494
31,504
32,480
33,505
34,532
35,519
36,523
37,499
38,510
39,473
40,503
41,510
42,516
43,507
44,496
45,507
46,491
47,520
48,509
49,491
50,515
51,502
52,514
53,501
54,495
55,523
56,510
57,496
58,450
59,473
60,480
61,528
62,521
63,491
64,481
65,510
66,494
67,514
68,512
69,478
70,496
71,502
72,526
73,495
74,461
75,509
76,486
77,510
78,509
79,516
80,504
81,521
82,487
83,504
84,498
85,489
86,517
87,474
88,476
89,496
90,461
91,499
92,518
93,502
94,485
95,514
96,501
97,498
98,519
99,488
100,495
101,485
102,515
103,489
104,513
105,497
106,507
107,498
108,477
109,516
110,511
111,512
112,527
113,467
114,515
115,495
116,470
117,483
118,498
119,501
120,536
121,477
122,493
123,519
124,521
125,512
126,492
127,522
128,494
129,480
130,485
131,485
132,483
133,472
134,485
135,517
136,499
137,490
138,517
139,502
140,508
141,477
142,496
143,490
144,526
145,481
146,531
147,504
148,522
149,465
150,500
151,497
152,502
153,500
154,458
155,491
156,508
157,491
158,495
159,496
160,524
161,506
162,513
163,526
164,472
165,510
166,502
167,516
168,475
169,505
170,466
171,515
172,496
173,520
174,504
175,506
176,488
177,525
178,495
179,508
180,477
181,519
182,513
183,495
184,499
185,502
186,472
187,477
188,522
189,495
190,516
191,484
192,511
193,515
194,506
195,495
196,498
197,522
198,485
199,515
200,514
201,500
202,500
203,503
204,486
205,496
206,493
207,504
208,505
209,504
210,519
211,502
212,493
213,487
214,486
215,501
216,518
217,504
218,497
219,486
220,510
221,508
222,496
223,527
224,496
225,504
226,510
227,514
228,499
229,505
230,500
231,514
232,493
233,513
234,520
235,503
236,499
237,523
238,505
239,508
240,496
241,481
242,511
243,493
244,502
245,500
246,481
247,502
248,506
249,493
250,504
251,516
252,477
253,500
254,489
255,492
256,482
257,484
258,487
259,523
260,510
261,511
262,529
263,497
264,500
265,502
266,494
267,501
268,511
269,472
270,509
271,485
272,511
273,506
274,514
275,499
276,487
277,501
278,492
279,472
280,508
281,531
282,500
283,512
284,500
285,510
286,497
287,520
288,503
289,525
290,513
291,508
292,486
293,543
294,501
295,485
296,493
297,543
298,524
299,502
300,489
301,492
302,492
303,482
304,520
305,499
306,492
307,508
308,490
309,514
310,525
311,503
312,500
313,486
314,476
315,499
316,502
317,496
318,505
319,506
320,513
321,484
322,526
323,523
324,501
325,489
326,510
327,497
328,501
329,519
330,503
331,503
332,512
333,493
334,496
335,469
336,477
337,503
338,515
339,501
340,478
341,547
342,509
343,511
344,460
345,495
346,503
347,506
348,467
349,548
350,479
351,485
352,493
353,508
354,530
355,483
356,494
357,486
358,497
359,528
360,523
361,504
362,535
363,504
364,472
365,502
366,503
367,503
368,495
369,507
370,526
371,498
372,491
373,475
374,500
375,500
376,498
377,482
378,500
379,496
380,536
381,494
382,548
383,501
384,481
385,507
386,506
387,525
388,503
389,492
390,491
391,510
392,501
393,511
394,516
395,522
396,508
397,490
398,493
399,488
400,506
401,482
402,515
403,502
404,493
405,516
406,502
407,469
408,484
409,513
410,499
411,508
412,505
413,495
414,510
415,511
416,503
417,506
418,466
419,496
420,493
421,478
422,502
423,464
424,491
425,504
426,489
427,498
428,513
429,513
430,489
431,472
432,521
433,523
434,500
435,488
436,497
437,503
438,493
439,521
440,504
441,524
442,527
443,484
444,503
445,522
446,532
447,515
448,509
449,525
450,501
451,495
452,504
453,482
454,515
455,475
456,507
457,498
458,508
459,523
460,494
461,463
462,504
463,496
464,486
465,525
466,486
467,464
468,487
469,518
470,478
471,472
472,529
473,489
474,515
475,495
476,490
477,518
478,527
479,500
480,490
481,496
482,494
483,511
484,489
485,524
486,497
487,501
488,485
489,507
490,509
491,518
492,529
493,497
494,481
495,508
496,488
497,487
498,513
499,525
500,510
501,519
502,478
503,506
504,482
505,509
506,499
507,500
508,471
509,527
510,487
511,493
512,499
513,534
514,479
515,500
516,499
517,484
518,481
519,496
520,505
521,508
522,501
523,479
524,489
525,514
526,505
527,517
528,483
529,505
530,475
531,502
532,477
533,505
534,472
535,460
536,504
537,502
538,499
539,493
540,504
541,469
542,514
543,473
544,512
545,492
546,520
547,518
548,516
549,524
550,472
551,506
552,507
553,485
554,484
555,524
556,501
557,474
558,490
559,527
560,516
561,493
562,499
563,491
564,473
565,493
566,484
567,489
568,471
569,474
570,492
571,512
572,506
573,529
574,471
575,489
576,499
577,508
578,492
579,496
580,510
581,503
582,502
583,503
584,493
585,497
586,479
587,507
588,519
589,528
590,470
591,502
592,477
593,483
594,480
595,507
596,509
597,497
598,491
599,480
600,491
601,485
602,511
603,509
604,492
605,491
606,538
607,501
608,511
609,490
610,510
611,503
612,474
613,489
614,492
615,521
616,479
617,503
618,497
619,519
620,471
621,514
622,469
623,511
624,494
625,516
626,520
627,518
628,499
629,497
630,483
631,452
632,510
633,488
634,527
635,483
636,482
637,487
638,502
639,478
640,507
641,510
642,499
643,508
644,502
645,510
646,490
647,491
648,489
649,527
650,508
651,489
652,482
653,477
654,497
655,471
656,523
657,498
658,538
659,532
660,491
661,508
662,508
663,503
664,512
665,509
666,499
667,517
668,522
669,497
670,515
671,516
672,490
673,485
674,503
675,495
676,494
677,507
678,512
679,495
680,492
681,520
682,486
683,518
684,513
685,510
686,479
687,473
688,494
689,497
690,483
691,488
692,508
693,503
694,524
695,500
696,477
697,505
698,491
699,549
700,448
701,510
702,516
703,524
704,465
705,494
706,513
707,496
708,528
709,520
710,477
711,495
712,531
713,526
714,528
715,511
716,500
717,502
718,466
719,479
720,502
721,509
722,474
723,522
724,466
725,492
726,510
727,529
728,492
729,497
730,519
731,488
732,507
733,475
734,502
735,506
736,513
737,499
738,521
739,524
740,508
741,493
742,508
743,499
744,524
745,497
746,471
747,515
748,494
749,500
750,512
751,467
752,474
753,492
754,516
755,489
756,515
757,505
758,528
759,467
760,488
761,528
762,517
763,520
764,487
765,487
766,499
767,466
768,511
769,510
770,507
771,495
772,529
773,474
774,507
775,519
776,476
777,490
778,480
779,492
780,477
781,501
782,505
783,510
784,516
785,505
786,496
787,472
788,516
789,478
790,501
791,477
792,502
793,473
794,493
795,509
796,477
797,532
798,501
799,509
800,526
801,497
802,502
803,513
804,524
805,502
806,503
807,477
808,499
809,503
810,481
811,493
812,503
813,526
814,494
815,499
816,540
817,497
818,482
819,507
820,512
821,506
822,542
823,520
824,494
825,541
826,504
827,522
828,483
829,491
830,502
831,533
832,505
833,495
834,514
835,506
836,458
837,501
838,511
839,508
840,503
841,488
842,503
843,487
844,511
845,511
846,512
847,480
848,500
849,507
850,504
851,486
852,488
853,505
854,512
855,492
856,505
857,501
858,480
859,506
860,463
861,504
862,498
863,492
864,483
865,513
866,510
867,511
868,515
869,483
870,511
871,525
872,507
873,485
874,514
875,512
876,482
877,476
878,506
879,505
880,521
881,480
882,489
883,497
884,482
885,506
886,519
887,497
888,495
889,534
890,511
891,503
892,512
893,513
894,507
895,511
896,526
897,517
898,495
899,506
900,529
901,523
902,474
903,506
904,507
905,502
906,473
907,503
908,507
909,495
910,507
911,481
912,501
913,504
914,491
915,514
916,507
917,519
918,520
919,483
920,498
921,510
922,485
923,494
924,487
925,485
926,472
927,509
928,505
929,478
930,507
931,497
932,494
933,505
934,522
935,480
936,491
937,512
938,514
939,518
940,485
941,525
942,512
943,497
944,510
945,514
946,498
947,530
948,473
949,489
950,500
951,494
952,519
953,528
954,507
955,504
956,499
957,475
958,510
959,517
960,496
961,498
962,513
963,524
964,505
965,508
966,496
967,510
968,503
969,522
970,499
971,488
972,478
973,502
974,496
975,488
976,534
977,522
978,520
979,496
980,515
981,502
982,491
983,508
984,506
985,504
986,491
987,500
988,508
989,497
990,495
991,518
992,499
993,482
994,501
995,525
996,485
997,505
998,506
999,515
1000,518
1001,479
1002,505
1003,492
1004,504
1005,487
1006,485
1007,488
1008,504
1009,486
1010,519
1011,482
1012,507
1013,500
1014,478
1015,512
1016,515
1017,517
1018,519
1019,512
1020,509
1021,528
1022,490
1023,511
1024,487
1025,494
1026,495
1027,501
1028,483
1029,496
1030,502
1031,495
1032,527
1033,486
1034,498
1035,500
1036,500
1037,499
1038,487
1039,517
1040,502
1041,480
1042,497
1043,507
1044,511
1045,500
1046,503
1047,510
1048,506
1049,511
1050,513
1051,560
1052,496
1053,491
1054,505
1055,514
1056,508
1057,501
1058,510
1059,504
1060,504
1061,484
1062,494
1063,493
1064,502
1065,495
1066,526
1067,540
1068,498
1069,519
1070,502
1071,494
1072,485
1073,496
1074,474
1075,475
1076,504
1077,497
1078,523
1079,506
1080,490
1081,516
1082,491
1083,530
1084,516
1085,481
1086,505
1087,509
1088,484
1089,509
1090,528
1091,531
1092,499
1093,492
1094,516
1095,519
1096,527
1097,498
1098,482
1099,507
1100,505
1101,506
1102,510
1103,512
1104,487
1105,510
1106,526
1107,509
1108,503
1109,483
1110,506
1111,488
1112,521
1113,481
1114,480
1115,507
1116,506
1117,499
1118,518
1119,483
1120,516
1121,522
1122,506
1123,505
1124,527
1125,504
1126,482
1127,498
1128,504
1129,491
1130,518
1131,504
1132,540
1133,496
1134,484
1135,480
1136,499
1137,477
1138,496
1139,497
1140,486
1141,497
1142,501
1143,505
1144,490
1145,536
1146,492
1147,512
1148,493
1149,480
1150,523
1151,500
1152,511
1153,505
1154,480
1155,508
1156,474
1157,503
1158,487
1159,503
1160,496
1161,500
1162,501
1163,526
1164,519
1165,499
1166,501
1167,499
1168,478
1169,497
1170,484
1171,528
1172,497
1173,522
1174,491
1175,484
1176,531
1177,514
1178,530
1179,482
1180,514
1181,484
1182,516
1183,493
1184,503
1185,492
1186,509
1187,506
1188,503
1189,511
1190,492
1191,472
1192,524
1193,470
1194,505
1195,490
1196,485
1197,483
1198,494
1199,512
1200,494
1201,495
1202,502
1203,500
1204,485
1205,517
1206,516
1207,483
1208,527
1209,504
1210,475
1211,506
1212,502
1213,516
1214,510
1215,515
1216,528
1217,461
1218,508
1219,490
1220,494
1221,478
1222,504
1223,509
1224,502
1225,486
1226,507
1227,521
1228,489
1229,460
1230,494
1231,526
1232,504
1233,509
1234,515
1235,506
1236,529
1237,517
1238,519
1239,516
1240,510
1241,507
1242,475
1243,506
1244,501
1245,499
1246,512
1247,483
1248,481
1249,498
1250,527
1251,499
1252,500
1253,483
1254,489
1255,527
1256,504
1257,490
1258,479
1259,494
1260,496
1261,503
1262,525
1263,506
1264,511
1265,506
1266,503
1267,483
1268,504
1269,497
1270,494
1271,490
1272,508
1273,476
1274,470
1275,514
1276,499
1277,511
1278,493
1279,519
1280,496
1281,515
1282,538
1283,493
1284,476
1285,521
