,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
0,Aubert,Chardonnay Larry Hyde & Sons 2017,United States_Los Carneros,4.8,$199.99,White,United States,Los Carneros,2017,Chardonnay
1,Domaine Michel Niellon,Chevalier-Montrachet Grand Cru 2011,France_Chevalier-Montrachet Grand Cru,4.7,$449.99,White,France,Chevalier-Montrachet Grand Cru,2011,Chardonnay
2,Comte Senard,Corton-Charlemagne Grand Cru Blanc 2015,France_Corton-Charlemagne Grand Cru,4.7,$180.99,White,France,Corton-Charlemagne Grand Cru,2015,Chardonnay
3,Kistler,Chardonnay 2017,United States_Sonoma Mountain,4.6,$75,White,United States,Sonoma Mountain,2017,Chardonnay
4,Bonneau du Martray,Corton-Charlemagne Grand Cru 2016,France_Corton-Charlemagne Grand Cru,4.6,$349.99,White,France,Corton-Charlemagne Grand Cru,2016,Chardonnay
5,Shibumi Knoll Vineyards,Chardonnay 2013,United States_Russian River Valley,4.6,$110.99,White,United States,Russian River Valley,2013,Chardonnay
6,Rafael Palacios,Sorte O Soro Val do Bibei 2016,Spain_Valdeorras,4.6,$266.99,White,Spain,Valdeorras,2016,Chardonnay
7,Domaine Jacques Prieur,Puligny-Montrachet Les Combettes Premier Cru 2016,France_Puligny-Montrachet Premier Cru,4.6,$207.99,White,France,Puligny-Montrachet Premier Cru,2016,Chardonnay
8,Paul Hobbs,Ellen Lane Estate Chardonnay 2015,United States_Russian River Valley,4.6,$84.99,White,United States,Russian River Valley,2015,Chardonnay
9,Fantesca Estate,Chardonnay 2015,United States_Russian River Valley,4.6,$79.99,White,United States,Russian River Valley,2015,Chardonnay
10,Morlet Family Vineyards,La Proportion Dorée 2014,United States_Sonoma County,4.6,$229.97,White,United States,Sonoma County,2014,Chardonnay
11,Domaine Follin-Arbelet,Corton-Charlemagne Grand Cru 2011,France_Corton-Charlemagne Grand Cru,4.6,$159.99,White,France,Corton-Charlemagne Grand Cru,2011,Chardonnay
12,Marcassin,Marcassin Vineyard Chardonnay 2012,United States_Sonoma Coast,4.6,$349,White,United States,Sonoma Coast,2012,Chardonnay
13,Philippe Colin,Chassagne-Montrachet Premier Cru 'Les Chaumees' 2016,France_Chassagne-Montrachet 1er Cru 'Les Chaumes',4.6,$104.99,White,France,Chassagne-Montrachet 1er Cru 'Les Chaumes',2016,Chardonnay
14,Domaine Long Depaquit,Chablis Grand Cru 'Moutonne' (Monopole) 2017,France_Chablis Grand Cru 'La Moutonne',4.6,$159.99,White,France,Chablis Grand Cru 'La Moutonne',2017,Chablis
15,Jean-Claude Ramonet,Chassagne-Montrachet Premier Cru 'Morgeot' Blanc 2016,France_Chassagne-Montrachet 1er Cru 'Morgeot',4.6,$179.99,White,France,Chassagne-Montrachet 1er Cru 'Morgeot',2016,Chardonnay
16,Peter Michael,Mon Plaisir Chardonnay N.V.,United States_Knights Valley,4.5,$109.98,White,United States,Knights Valley,N.V.,Chardonnay
17,Ken Forrester,The FMC Chenin Blanc 2016,South Africa_Stellenbosch,4.5,$59.98,White,South Africa,Stellenbosch,2016,Chenin Blanc
18,Gaja,Gaia & Rey Langhe 2016,Italy_Langhe,4.5,$299.99,White,Italy,Langhe,2016,Chardonnay
19,Louis Latour,Corton-Charlemagne Grand Cru 2015,France_Corton-Charlemagne Grand Cru,4.5,$149.99,White,France,Corton-Charlemagne Grand Cru,2015,Chardonnay
20,Domaine Henri Boillot,Puligny-Montrachet 1er Cru 'Clos de La Mouchère' (Monopole) 2013,France_Puligny-Montrachet 1er Cru 'Clos de la Mouchère',4.5,$159.99,White,France,Puligny-Montrachet 1er Cru 'Clos de la Mouchère',2013,Chardonnay
21,Château d'Yquem,Y 2017,France_Bordeaux Supérieur,4.5,$210,White,France,Bordeaux Supérieur,2017,Chardonnay
22,Domaine de la Vougeraie,Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2015,France_Vougeot 1er Cru 'Le Clos Blanc',4.5,$109.99,White,France,Vougeot 1er Cru 'Le Clos Blanc',2015,Chardonnay
23,Montonale,Orestilla 2017,Italy_Lugana,4.5,$48.99,White,Italy,Lugana,2017,Chardonnay
24,Louis Latour,Corton-Charlemagne Grand Cru 2016,France_Corton-Charlemagne Grand Cru,4.5,$207.99,White,France,Corton-Charlemagne Grand Cru,2016,Chardonnay
25,Gaja,Gaia & Rey Langhe 2017,Italy_Langhe,4.5,$277.90,White,Italy,Langhe,2017,Chardonnay
26,Kosta Browne,One Sixteen Chardonnay 2017,United States_Russian River Valley,4.5,$69.71,White,United States,Russian River Valley,2017,Chardonnay
27,Kistler,Vine Hill Vineyard Chardonnay 2016,United States_Russian River Valley,4.5,$129.99,White,United States,Russian River Valley,2016,Chardonnay
28,Morlet Family Vineyards,Chardonnay Ma Douce 2013,United States_Sonoma Coast,4.5,$99.99,White,United States,Sonoma Coast,2013,Chardonnay
29,David Moret-Nomine,Meursault 'Les Narvaux' 2015,France_Meursault,4.5,$76.99,White,France,Meursault,2015,Chardonnay
30,Trimbach,Riesling Alsace Cuvée Frédéric Emile 1990,France_Alsace,4.5,$225,White,France,Alsace,1990,Riesling
31,Pierre-Yves Colin-Morey,Chassagne-Montrachet Premier Cru Abbaye de Morgeot 2015,France_Chassagne-Montrachet 1er Cru 'Abbaye de Morgeot',4.5,$175,White,France,Chassagne-Montrachet 1er Cru 'Abbaye de Morgeot',2015,Chardonnay
32,Marc Colin,Chassagne-Montrachet 1er Cru Les Champs Gain 2015,France_Chassagne-Montrachet Premier Cru,4.5,$148.99,White,France,Chassagne-Montrachet Premier Cru,2015,Chardonnay
