,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
0,Caymus,Cabernet Sauvignon N.V.,4.6,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,79.05,,15,2,587,36
1,The Prisoner,The Prisoner N.V.,4.4,Blend,Red,N.V.,Napa Valley,United States,39.75,,10,2,587,36
2,Masi,Costasera Amarone della Valpolicella Classico N.V.,4.3,Valpolicella,Red,N.V.,Amarone della Valpolicella Classico,Italy,54.99,,86,2,34,19
3,Stag's Leap Wine Cellars,ARTEMIS Cabernet Sauvignon N.V.,4.3,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,59.99,,15,2,587,36
4,Banfi,Brunello di Montalcino N.V.,4.2,Brunello,Red,N.V.,Brunello di Montalcino,Italy,65.98,,12,2,120,19
5,Opus One,Opus One N.V.,4.6,Blend,Red,N.V.,Napa Valley,United States,364.99,,10,2,587,36
6,Vega Sicilia,Valbuena 5º N.V.,4.6,Blend,Red,N.V.,Ribera del Duero,Spain,159.48,,10,2,706,32
7,Château Musar,Rouge (Gaston Hochar) N.V.,4.2,Blend,Red,N.V.,Bekaa Valley,Lebanon,76.98,,10,2,92,20
8,Alión,Ribera del Duero N.V.,4.4,Blend,Red,N.V.,Ribera del Duero,Spain,86.88,,10,2,706,32
9,Silver Oak,Napa Valley Cabernet Sauvignon N.V.,4.5,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,119.8,,15,2,587,36
10,Pintia,Toro N.V.,4.3,Blend,Red,N.V.,Toro,Spain,60.48,,10,2,848,32
11,Almaviva,Almaviva N.V.,4.6,Blend,Red,N.V.,Puente Alto,Chile,142.99,,10,2,676,7
12,Tinto Pesquera,Crianza N.V.,4.0,Blend,Red,N.V.,Ribera del Duero,Spain,29.68,,10,2,706,32
13,Tenuta CastelGiocondo,Brunello di Montalcino N.V.,4.2,Brunello,Red,N.V.,Brunello di Montalcino,Italy,54.99,,12,2,120,19
14,R. López de Heredia Viña Tondonia,Viña Tondonia Reserva N.V.,4.1,Blend,Red,N.V.,Rioja,Spain,49.49,,10,2,710,32
15,Antinori,Pèppoli Chianti Classico N.V.,3.8,Chianti,Red,N.V.,Chianti Classico,Italy,25.28,,22,2,224,19
16,Dominio de Pingus,PSI N.V.,4.1,Blend,Red,N.V.,Ribera del Duero,Spain,41.79,,10,2,706,32
17,Cos d'Estournel,Cos d'Estournel N.V.,4.4,Blend,Red,N.V.,Saint-Estèphe,France,219.99,,10,2,748,12
18,Jordan,Cabernet Sauvignon N.V.,4.3,Cabernet Sauvignon,Red,N.V.,Alexander Valley,United States,54.75,,15,2,11,36
19,Produttori del Barbaresco,Barbaresco N.V.,4.0,Blend,Red,N.V.,Barbaresco,Italy,43.98,,10,2,68,19
20,Belle Glos,Clark & Telephone Vineyard Pinot Noir N.V.,4.4,Pinot Noir,Red,N.V.,Santa Maria Valley,United States,32.99,,57,2,776,36
21,Silver Oak,Alexander Valley Cabernet Sauvignon N.V.,4.4,Cabernet Sauvignon,Red,N.V.,Alexander Valley,United States,79.95,,15,2,11,36
22,Muga,Reserva N.V.,4.0,Blend,Red,N.V.,Rioja,Spain,32.99,,10,2,710,32
23,Tenuta San Guido,Le Difese N.V.,3.8,Blend,Red,N.V.,Toscana,Italy,38.49,,10,2,849,19
24,Abadia Retuerta,Selección Especial Sardon de Duero N.V.,4.2,Blend,Red,N.V.,Sardón de Duero,Spain,27.48,,10,2,779,32
25,Bacalhôa,Península de Setúbal Quinta da Bacalhôa Cabernet Sauvignon N.V.,4.1,Cabernet Sauvignon,Red,N.V.,Península de Setúbal,Portugal,39.58,,15,2,645,28
26,Muga,Selección Especial (Reserva) N.V.,4.2,Blend,Red,N.V.,Rioja,Spain,43.48,,10,2,710,32
27,Aalto,Tinto N.V.,4.3,Blend,Red,N.V.,Ribera del Duero,Spain,51.69,,10,2,706,32
28,Belle Glos,Las Alturas Vineyard Pinot Noir N.V.,4.4,Pinot Noir,Red,N.V.,Santa Lucia Highlands,United States,29.99,,57,2,775,36
29,Stags' Leap,Cabernet Sauvignon N.V.,4.3,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,39.75,,15,2,587,36
30,Quinta do Crasto,Reserva Vinhas Velhas N.V.,4.3,Blend,Red,N.V.,Douro,Portugal,52.79,,10,2,324,28
31,Álvaro Palacios,Camins del Priorat N.V.,3.9,Blend,Red,N.V.,Priorat,Spain,29.69,,10,2,671,32
32,Viña Cobos,Bramare Malbec Lujan de Cuyo N.V.,4.4,Malbec,Red,N.V.,Lujan de Cuyo,Argentina,43.99,,38,2,476,0
33,Orin Swift,Abstract (a.k.a. Vandalism is Beautiful) N.V.,4.2,Blend,Red,N.V.,California,United States,32.99,,10,2,132,36
34,Faust,Cabernet Sauvignon N.V.,4.3,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,43.45,,15,2,587,36
35,Antinori,Tenuta Guado al Tasso Bolgheri Superiore N.V.,4.4,Blend,Red,N.V.,Bolgheri Superiore,Italy,114.94,,10,2,104,19
36,The Hess Collection,Allomi Cabernet Sauvignon N.V.,4.1,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,29.68,,15,2,587,36
37,Penfolds,Bin 389 Cabernet - Shiraz N.V.,4.2,Shiraz,Red,N.V.,South Australia,Australia,82.49,,75,2,807,2
38,Catena Alta,Malbec N.V.,4.2,Malbec,Red,N.V.,Mendoza,Argentina,43.99,,38,2,507,0
39,Joseph Phelps,Insignia N.V.,4.6,Blend,Red,N.V.,Napa Valley,United States,263.99,,10,2,587,36
40,Dominio de Pingus,Flor de Pingus N.V.,4.5,Blend,Red,N.V.,Ribera del Duero,Spain,109.98,,10,2,706,32
41,Louis M. Martini,Cabernet Sauvignon N.V.,4.1,Cabernet Sauvignon,Red,N.V.,Napa Valley,United States,37.38,,15,2,587,36
42,Antinori,Villa Antinori Chianti Classico Riserva N.V.,4.0,Chianti,Red,N.V.,Chianti Classico,Italy,29.69,,22,2,224,19
43,Cartuxa,Pêra-Manca Tinto N.V.,4.7,Blend,Red,N.V.,Alentejo,Portugal,417.99,,10,2,10,28
