,winery,wine,location,rating,price
0,Château d'Yquem,Sauternes 1990,"France
·
Sauternes",4.8,$449.99
1,Château d'Yquem,Sauternes 2017,"France
·
Sauternes",4.8,$365
2,Château d'Yquem,Sauternes 1996,"France
·
Sauternes",4.7,$445
3,Château d'Yquem,Sauternes 2002,"France
·
Sauternes",4.7,$375.99
4,Château d'Yquem,Sauternes 2008,"France
·
Sauternes",4.7,$395
5,Château d'Yquem,Sauternes 2006,"France
·
Sauternes",4.7,$324.99
6,Quintarelli Giuseppe,Recioto della Valpolicella Classico 2004,"Italy
·
Recioto della Valpolicella",4.7,$284.99
7,Dal Forno Romano,Vigna Seré Veneto Passito Rosso 2004,"Italy
·
Veneto",4.7,$274.99
8,Dal Forno Romano,Vigna Seré Veneto Passito Rosso 2003,"Italy
·
Veneto",4.7,$349.99
9,Kracher,Grande Cuvée Nummer 6 Nouvelle Vague Trockenbeerenauslese 2001,"Austria
·
Burgenland",4.7,$75.99
10,Avignonesi,Vin Santo di Montepulciano Occhio di Pernice 1994,"Italy
·
Vin Santo di Montepulciano",4.6,$250
11,Avignonesi,Vin Santo di Montepulciano N.V.,"Italy
·
Vin Santo di Montepulciano",4.6,$219.98
12,Château Rieussec,Sauternes (Premier Grand Cru Classé) 2001,"France
·
Sauternes",4.6,$275
13,Avignonesi,Vin Santo di Montepulciano 2002,"Italy
·
Vin Santo di Montepulciano",4.6,$219.98
14,Jorge Ordóñez,No. 3 Old Vines 2005,"Spain
·
Málaga",4.6,$67.99
15,Château de Fargues,Sauternes (Lur Saluces) 1990,"France
·
Sauternes",4.6,$275
16,Donnafugata,Ben Ryé Passito di Pantelleria N.V.,"Italy
·
Passito di Pantelleria",4.5,$38.48
17,Dolce,Dolce (Late Harvest) N.V.,"United States
·
Napa Valley",4.5,$52.78
18,Donnafugata,Ben Ryé Passito di Pantelleria 2016,"Italy
·
Passito di Pantelleria",4.5,$45
19,Château Climens,Barsac (Premier Grand Cru Classé) 2005,"France
·
Barsac",4.5,$165
20,Didier Dagueneau (Louis-Benjamin Dagueneau),Les Jardins de Babylone Moelleux 2011,"France
·
Jurançon",4.5,$99.99
21,Eroica,Ice Wine Riesling 2013,"United States
·
Columbia Valley",4.5,$63.99
22,Rocca di Montegrossi,Vin Santo del Chianti Classico 2007,"Italy
·
Vin Santo del Chianti Classico",4.5,$75
23,Inniskillin,Riesling Icewine N.V.,"Canada
·
Niagara Peninsula",4.4,$76.99
24,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2009,"France
·
Sauternes",4.4,$59.99
25,Inniskillin,Cabernet Franc Icewine N.V.,"Canada
·
Niagara Peninsula",4.4,$98.99
26,Isole e Olena,Vin Santo del Chianti Classico N.V.,"Italy
·
Vin Santo del Chianti Classico",4.4,$60.49
27,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2005,"France
·
Sauternes",4.4,$78.99
28,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2011,"France
·
Sauternes",4.4,$79.99
29,Château Rieussec,Sauternes (Premier Grand Cru Classé) 2009,"France
·
Sauternes",4.4,$129.99
30,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2001,"France
·
Sauternes",4.4,$109.99
31,Château Suduiraut,Sauternes (Premier Grand Cru Classé) 2007,"France
·
Sauternes",4.4,$65.99
32,Château Suduiraut,Sauternes (Premier Grand Cru Classé) 2009,"France
·
Sauternes",4.4,$113.99
33,Inniskillin,Vidal Icewine 2014,"Canada
·
Niagara Peninsula",4.4,$59.95
34,Château Guiraud,Sauternes (Premier Grand Cru Classé) 2002,"France
·
Sauternes",4.4,$68
35,Royal Tokaji,5 Puttonyos Aszú (Red Label) 2013,"Hungary
·
Tokaj",4.4,$61.99
36,Château Suduiraut,Sauternes (Premier Grand Cru Classé) 2011,"France
·
Sauternes",4.4,$87.99
