,winery,wine,location,rating,price
0,W. & J. Graham's,10 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.1,$32.99
1,Taylor's,10 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.0,$27.99
2,W. & J. Graham's,20 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.3,$49.99
3,Taylor's,20 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.3,$49.97
4,Toro Albalá,Don PX Gran Reserva N.V.,"Spain
·
Montilla-Moriles",4.4,$64.89
5,Taylor's,Vintage Port N.V.,"Portugal
·
Porto",4.5,$109.97
6,Gonzalez-Byass,Nectar Pedro Ximenez Sherry (Dulce) N.V.,"Spain
·
Pedro Ximénez Sherry (PX)",4.0,$32.99
7,W. & J. Graham's,Vintage Port N.V.,"Portugal
·
Porto",4.4,$120.98
8,Dow's,Vintage Port N.V.,"Portugal
·
Porto",4.5,$98.99
9,Fonseca,Guimaraens Vintage Port N.V.,"Portugal
·
Porto",4.2,$47.99
10,Dow's,10 Years Old Tawny Port N.V.,"Portugal
·
Porto",4.0,$29.99
11,Ramos Pinto,Quinta de Ervamoira 10 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.1,$34.97
12,Quinta do Noval,10 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.0,$33.99
13,Ramos Pinto,Late Bottled Vintage Port N.V.,"Portugal
·
Porto",3.9,$25.29
14,Krohn,Colheita Port N.V.,"Portugal
·
Porto",4.3,$30.99
15,Royal Oporto,10 Year Old Tawny Porto N.V.,"Portugal
·
Porto",4.1,$39.99
16,Warre's,Vintage Port N.V.,"Portugal
·
Porto",4.4,$65.98
17,Burmester,10 Year Old Tawny Port N.V.,"Portugal
·
Porto",3.9,$40.99
18,Fonseca,10 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.0,$27.99
19,Sandeman,20 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.3,$54.99
20,Sandeman,Late Bottled Vintage Port N.V.,"Portugal
·
Porto",4.0,$27.99
21,Ramos Pinto,Quinta do Bom Retiro 20 Year Old Tawny Porto N.V.,"Portugal
·
Porto",4.3,$69.28
22,Ferreira,Quinta do Porto 10 Anos Tawny Port N.V.,"Portugal
·
Porto",4.1,$33.99
23,W. & J. Graham's,30 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.5,$119.95
24,Lustau,San Emilio Pedro Ximénez Sherry (Solera Reserva) N.V.,"Spain
·
Pedro Ximénez Sherry (PX)",4.0,$32.99
25,Lustau,East India Solera Sherry N.V.,"Spain
·
Jerez-Xérès-Sherry",4.0,$28.97
26,Sandeman,10 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.1,$29.99
27,Sandeman,Quinta do Vau Vintage Port N.V.,"Portugal
·
Porto",4.1,$42.99
28,W. & J. Graham's,Late Bottled Vintage Port 2008,"Portugal
·
Porto",3.8,$26.99
29,Messias,10 Anos Porto N.V.,"Portugal
·
Porto",4.0,$31.99
30,Niepoort,Porto 10 Years Old Tawny N.V.,"Portugal
·
Porto",4.0,$49.99
31,Fonseca,20 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.2,$49.99
32,Quinta do Noval,Port Tawny Colheita N.V.,"Portugal
·
Porto",4.3,$85.99
33,W. & J. Graham's,40 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.6,$189.99
34,Quinta do Noval,Late Bottled Vintage Port N.V.,"Portugal
·
Porto",4.0,$29.69
35,Fonseca,Vintage Port N.V.,"Portugal
·
Porto",4.4,$87.98
36,KEO,St. John Commandaria N.V.,"Cyprus
·
Commandaria",4.1,$27.99
37,Taylor's,Late Bottled Vintage Port 2013,"Portugal
·
Porto",4.0,$25.99
