,winery,wine,location,rating,price
0,Geantet-Pansiot,Charmes-Chambertin Grand Cru 2002,"France
·
Charmes-Chambertin Grand Cru",4.2,$450
1,Château Beychevelle,Saint-Julien (Grand Cru Classé) 1961,"France
·
Saint-Julien",4.5,$450
2,Borgogno,Barolo Riserva 1947,"Italy
·
Barolo",4.0,$450
3,Quintarelli Giuseppe,Veneto Alzero Cabernet 2008,"Italy
·
Veneto",4.7,$449.99
4,Domaine Dujac,Gevrey Chambertin 1er Cru 'Aux Combottes' 2005,"France
·
Gevrey-Chambertin 1er Cru 'Aux Combottes'",4.2,$449.99
5,Henri Bonneau,Chateauneuf-du-Pape Réserve des Célestins 2012,"France
·
Châteauneuf-du-Pape",4.5,$449.99
6,Cos d'Estournel,Cos d'Estournel 2010,"France
·
Saint-Estèphe",4.5,$449.99
7,Gaja,Costa Russi (Barbaresco) Langhe 2015,"Italy
·
Langhe",4.5,$449.99
8,Paul Hobbs,Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2015,"United States
·
Oakville",4.7,$447.99
9,Zýmē,Harlequin 2009,"Italy
·
Veneto",4.7,$447.99
10,Antinori,Tenuta Tignanello 'Solaia' 1997,"Italy
·
Toscana",4.7,$445
11,Château l'Évangile,Pomerol 2005,"France
·
Pomerol",4.5,$440.99
12,Groth,Cabernet Sauvignon 2006,"United States
·
Oakville",4.4,$439.99
13,E. Guigal,Côte-Rôtie La Mouline 2012,"France
·
Côte-Rôtie",4.6,$439.99
14,E. Guigal,Côte-Rôtie La Turque 2012,"France
·
Côte-Rôtie",4.6,$439.99
15,E. Guigal,Côte-Rôtie La Turque N.V.,"France
·
Côte-Rôtie",4.6,$439.99
16,Gaja,Sorì Tildìn (Barbaresco) Langhe N.V.,"Italy
·
Langhe",4.6,$439.99
17,E. Guigal,Côte-Rôtie La Turque 2007,"France
·
Côte-Rôtie",4.6,$439.99
18,Gaja,Sorì San Lorenzo N.V.,"Italy
·
Langhe",4.6,$439.99
19,TOR,Black Magic Cabernet Sauvignon N.V.,"United States
·
Napa Valley",4.7,$439.99
20,Gaja,Costa Russi (Barbaresco) Langhe N.V.,"Italy
·
Langhe",4.6,$439.99
21,Bruno Giacosa,Falletto Barbaresco Asili Riserva N.V.,"Italy
·
Barbaresco",4.5,$439.98
22,Domaine Comte Georges de Vogüé,Bonnes-Mares Grand Cru 2012,"France
·
Bonnes-Mares Grand Cru",4.6,$439.98
23,Domaine Comte Georges de Vogüé,Bonnes-Mares Grand Cru 2013,"France
·
Bonnes-Mares Grand Cru",4.7,$439.98
24,Verite,La Joie N.V.,"United States
·
Sonoma County",4.5,$439.98
25,Château Latour,Les Forts de Latour Pauillac 1976,"France
·
Pauillac",4.3,$435.99
26,Château La Conseillante,Pomerol 2009,"France
·
Pomerol",4.5,$435.99
27,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2001,"France
·
Pessac-Léognan",4.4,$435
28,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves) 2014,"France
·
Pessac-Léognan",4.5,$432.99
29,Château Musar,Rouge (Gaston Hochar) 1981,"Lebanon
·
Bekaa Valley",4.5,$429.99
30,Larkmead,The Lark 2013,"United States
·
Napa Valley",4.7,$429.99
31,Cardinale,Cabernet Sauvignon 2015,"United States
·
Napa Valley",4.7,$429.99
32,Thierry Allemand,Cornas 'Reynard' 2009,"France
·
Cornas",4.5,$429
33,E. Guigal,Côte-Rôtie La Landonne 2013,"France
·
Côte-Rôtie",4.6,$426.99
34,Roberto Voerzio,Fossati Case Nere Barolo Riserva 10 Anni 2008,"Italy
·
Barolo",4.4,$426.99
35,Château La Fleur-Pétrus,Pomerol 2005,"France
·
Pomerol",4.5,$426.99
36,E. Guigal,Côte-Rôtie La Turque 2013,"France
·
Côte-Rôtie",4.5,$426.99
37,E. Guigal,Côte-Rôtie La Mouline 2013,"France
·
Côte-Rôtie",4.3,$426.99
38,Kapcsandy,State Lane Vineyard Cabernet Sauvignon Grand-Vin 2014,"United States
·
Napa Valley",4.5,$425
39,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2000,"France
·
Pauillac",4.5,$425
