,winery,wine,location,rating,price
0,Château d'Esclans,Garrus Rosé 2017,"France
·
Côtes de Provence",4.5,$99.99
1,Gérard Bertrand,Clos du Temple 2018,"France
·
Languedoc",4.5,$167.99
2,Château d'Esclans,Garrus Rosé N.V.,"France
·
Côtes de Provence",4.4,$89.99
3,Minuty,281 Rosé 2017,"France
·
Provence",4.4,$171.99
4,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé 2018,"France
·
Côtes de Provence",4.4,$29.99
5,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé N.V.,"France
·
Côtes de Provence",4.3,$35.99
6,Minuty,Rosé et Or 2018,"France
·
Côtes de Provence",4.3,$44.99
7,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) 2017,"France
·
Côtes de Provence",4.3,$49.99
8,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2018,"France
·
Côtes de Provence",4.3,$49.95
9,R. López de Heredia Viña Tondonia,Gran Reserva Rosado 2009,"Spain
·
Rioja Alta",4.3,$129.99
10,Scribe,Rosé of Pinot Noir 2018,"United States
·
Sonoma Coast",4.3,$32.99
11,Gassier,Château Gassier 946 Sainte Victoire Sélection Parcellaire Rosé 2017,"France
·
Côtes de Provence",4.2,$49.99
12,Domaines Ott,Château de Selle Rosé (Coeur de Grain) N.V.,"France
·
Côtes de Provence",4.2,$59.99
13,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2017,"France
·
Côtes de Provence",4.2,$45.99
14,Château d'Esclans,Rock Angel Rosé 2018,"France
·
Côtes de Provence",4.2,$34.99
15,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2018,"France
·
Bandol",4.2,$57.99
16,Château d'Esclans,Whispering Angel Rosé 2019,"France
·
Côtes de Provence",4.2,$67.99
17,Robert Sinskey,Pinot Noir of Vin Gris 2018,"United States
·
Los Carneros",4.2,$28.99
18,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2017,"France
·
Bandol",4.2,$54.99
19,Chêne Bleu,Rosé N.V.,"France
·
Vaucluse",4.1,$29.99
20,Domaine de Terrebrune,Terroir du Trias Delille Vigneron Bandol Rosé N.V.,"France
·
Bandol",4.1,$32.98
21,Barton & Guestier,Tourmaline Côtes de Provence 2018,"France
·
Côtes de Provence",4.1,$26.99
22,Clos Cibonne,Tibouren Tradition Rosé 2017,"France
·
Côtes de Provence",4.1,$32.99
23,Ameztoi,Rubentis 2018,"Spain
·
Getariako Txakolina",4.1,$25.99
24,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) 2018,"France
·
Côtes de Provence",4.1,$49.95
25,Vino Budimir,Svb Rosa 2007,"Serbia
·
Central Serbia",4.1,$38.99
26,Muga,Flor de Muga Rosado 2018,"Spain
·
Rioja",4.1,$34.99
27,Pico Maccario,Piemonte Lavignone Rosato 2016,"Italy
·
Piemonte",4.1,$28.99
28,Domaine de Terrebrune,Terroir du Trias Delille Vigneron Bandol Rosé 2017,"France
·
Bandol",4.1,$32.98
29,Château Léoube,Rosé de Léoube 2017,"France
·
Côtes de Provence",4.1,$56.99
30,Gros' Noré,Bandol Rosé 2017,"France
·
Bandol",4.1,$41.99
31,Clos Canarelli,Corse Figari Rosé 2016,"France
·
Corse Figari",4.1,$32.98
32,Chêne Bleu,Rosé 2018,"France
·
Vaucluse",4.1,$37.99
33,Gros' Noré,Bandol Rosé 2018,"France
·
Bandol",4.1,$38.99
34,La Sirena,La Sirena Rosato N.V.,"United States
·
Amador County",4.1,$32.99
35,Railsback Frères Winery,Les Rascasses Rosé 2017,"United States
·
Santa Ynez Valley",4.1,$25.99
36,Mas Jullien,Rosé 2015,"France
·
Languedoc",4.1,$39.99
37,Château de Pibarnon,Bandol Rosé N.V.,"France
·
Bandol",4.0,$32.99
38,Matthiasson,Rosé N.V.,"United States
·
Napa Valley",4.0,$27.48
39,Bedrock Wine Co.,Ode To Lulu Rosé N.V.,"United States
·
California",4.0,$25.29
40,Château Léoube,Secret de Léoube Rosé N.V.,"France
·
Côtes de Provence",4.0,$36.99
41,Flowers,Rosé N.V.,"United States
·
Sonoma Coast",4.0,$27.48
42,Matthiasson,Rosé 2017,"United States
·
Napa Valley",4.0,$27.48
43,Domaine du Gour de Chaule,Amour de Rosé Gigondas N.V.,"France
·
Gigondas",4.0,$31.99
44,Château de Pibarnon,Bandol Rosé 2018,"France
·
Bandol",4.0,$27.95
45,Fattoria Sardi,Le Cicale Rosato N.V.,"Italy
·
Toscana",4.0,$31.99
46,Domaine de Terrebrune,Terroir du Trias Delille Vigneron Bandol Rosé 2015,"France
·
Bandol",4.0,$43.99
47,Yves Leccia,Patrimonio Rosé 2016,"France
·
Patrimonio",4.0,$31.99
48,Domaine de la Mordoree,La Reine des Bois Tavel Rosé 2018,"France
·
Tavel",4.0,$29.50
49,Bedrock Wine Co.,Ode To Lulu Rosé 2018,"United States
·
California",4.0,$25.29
50,Château de Berne,Château de Berne Rosé N.V.,"France
·
Côtes de Provence",3.9,$32.99
51,Minuty,Prestige Rosé 2018,"France
·
Côtes de Provence",3.9,$36.99
52,Costaripa,Rosamara (Valtenesi Chiaretto) 2017,"Italy
·
Lombardia",3.9,$29.99
53,Domaine Serene,R Rosé N.V.,"United States
·
Oregon",3.9,$29.99
54,Clos Canarelli,Corse Figari Rosé N.V.,"France
·
Corse Figari",3.9,$32.98
55,Domaine de la Croix,Éloge Côtes de Provence Rosé N.V.,"France
·
Côtes de Provence",3.9,$27.49
56,Gassier,Château Gassier Le Pas du Moine Sainte Victoire 2018,"France
·
Côtes de Provence",3.9,$29.99
57,La Suffrene,Bandol Rosé 2018,"France
·
Bandol",3.9,$27.99
58,Le Vigne di Alice,Osé Brut Rosé N.V.,"Italy
·
Veneto",3.9,$25
59,Château Sainte Marguerite,Côtes de Provence Rosé 2017,"France
·
Côtes de Provence",3.9,$34.99
60,Txomin Etxaniz,Getaria Rosé 2017,"Spain
·
Getariako Txakolina",3.9,$25.99
61,Matthiasson,Rosé 2018,"United States
·
Napa Valley",3.9,$27.48
62,Bagnol,Cassis Rosé 2016,"France
·
Cassis",3.9,$59.99
63,Alphonse Mellot,La Moussière Sancerre Rosé 2018,"France
·
Sancerre",3.9,$33.99
64,Château de Berne,Château de Berne Rosé 2018,"France
·
Côtes de Provence",3.9,$28.97
65,Montonale,Rosa di Notte 2018,"Italy
·
Lombardia",3.9,$25.99
66,Gérard Bertrand,Joa Rosé 2018,"France
·
Languedoc",3.9,$31.99
67,Dominio del Aguila,Pícaro Claret Rosé 2015,"Spain
·
Ribera del Duero",3.9,$35.99
68,Domaine Poli,Clos Alivu Rosé 2017,"France
·
Patrimonio",3.9,$25.99
69,Château Vannières,Bandol Rosé 2018,"France
·
Bandol",3.9,$29.97
70,Domaine de la Croix,Éloge Côtes de Provence Rosé 2018,"France
·
Côtes de Provence",3.9,$27.49
71,Jean-Paul Balland,Sancerre Rosé 2018,"France
·
Sancerre",3.9,$26.99
72,La Bastide Blanche,Bandol Rosé N.V.,"France
·
Bandol",3.8,$25.29
73,Château Vannières,Bandol Rosé N.V.,"France
·
Bandol",3.8,$30.79
74,Azores Wine Company,Vulcânico Rosé 2018,"Portugal
·
Açores",3.8,$25.99
75,Minuty,281 Rosé 2016,"France
·
Provence",4.5,View shops
76,Inman Family,OGV Estate Endless Crush Rosé Of Pinot Noir 2018,"United States
·
Russian River Valley",4.5,View shops
77,Château Simone,Palette Rose 2016,"France
·
Palette",4.5,View shops
78,Minuty,281 Rosé 2018,"France
·
Provence",4.4,View shops
79,Minuty,281 Rosé N.V.,"France
·
Provence",4.4,View shops
80,Château d'Esclans,Garrus Rosé 2016,"France
·
Côtes de Provence",4.4,View shops
81,Robert Sinskey,Pinot Noir of Vin Gris 2016,"United States
·
Los Carneros",4.4,View shops
82,Robert Sinskey,Pinot Noir of Vin Gris N.V.,"United States
·
Los Carneros",4.3,View shops
83,Yves Leccia,Patrimonio Rosé 2017,"France
·
Patrimonio",3.8,$26.99
84,Graham Beck,Brut Rosé (Chardonnay - Pinot Noir) 2014,"South Africa
·
Robertson",3.8,$25.99
85,Mathilde Chapoutier,Grand Ferrage Côtes de Provence 2018,"France
·
Côtes de Provence",3.8,$31.99
86,Hecht & Bannier,Bandol Rosé 2017,"France
·
Bandol",3.8,$33.99
87,Hecht & Bannier,Bandol Rosé 2016,"France
·
Bandol",3.8,$28.99
88,Domaine de l'Olivette,Bandol Rosé 2017,"France
·
Bandol",3.8,$25
89,Peyrassol,Chateau Peyrassol Côtes de Provence Rosé 2018,"France
·
Côtes de Provence",3.8,$26
90,Tablas Creek Vineyard,Patelin de Tablas Rosé 2018,"United States
·
Paso Robles",3.8,$25.99
91,Conundrum,Rosé 2015,"United States
·
California",3.8,$26.99
92,Clos du Caillou,Côtes du Rhône Le Caillou Rosé N.V.,"France
·
Côtes-du-Rhône",3.7,$25.29
93,Château Léoube,Secret de Léoube Rosé 2017,"France
·
Côtes de Provence",3.7,$39.99
94,Domaine Bruno Clair,Marsannay Rosé 2014,"France
·
Marsannay",3.7,$34.99
95,Château Roubine,Côtes de Provence Rosé (Cru Classé) 2018,"France
·
Côtes de Provence",3.7,$29.99
96,Rêve de la Mer,Rosé N.V.,"France
·
Vin de Corse",3.6,$28
97,JNSQ,Rosé Cru N.V.,"United States
·
California",3.6,$29.99
98,Silverado,Sangiovese Rosato 2016,"United States
·
Stags Leap District",3.6,$29.99
99,LVE,Provence Rosé 2018,"France
·
Provence",3.4,$27.99
100,Broc Cellars,Koukou Cabernet Franc Rosé 2018,"United States
·
Happy Canyon of Santa Barbara",4.3,View shops
101,R. López de Heredia Viña Tondonia,Gran Reserva Rosado N.V.,"Spain
·
Rioja Alta",4.3,View shops
102,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2016,"France
·
Côtes de Provence",4.3,View shops
103,Commanderie de la Bargemone,Cuvée Marina Rosé 2018,"France
·
Coteaux d'Aix-en-Provence",4.3,View shops
104,Domaines Ott,Château de Selle Rosé (Coeur de Grain) 2015,"France
·
Côtes de Provence",4.3,View shops
105,R. López de Heredia Viña Tondonia,Gran Reserva Rosado 2008,"Spain
·
Rioja Alta",4.3,View shops
106,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé 2016,"France
·
Côtes de Provence",4.3,View shops
107,Robert Sinskey,Pinot Noir of Vin Gris 2013,"United States
·
Los Carneros",4.3,View shops
108,Le Coste,Rosato N.V.,"Italy
·
Lazio",4.3,View shops
109,VieVité,Extraordinaire Côtes de Provence Rosé N.V.,"France
·
Côtes de Provence",4.3,View shops
110,Domaine de l'Abbaye,Clos Beylesse Côtes de Provence Rosé 2017,"France
·
Côtes de Provence",4.3,View shops
111,Cakebread,Vin De Porche Rosé 2018,"United States
·
Anderson Valley",4.3,View shops
112,Clif Family,Rosé Of Grenache N.V.,"United States
·
Mendocino",4.3,View shops
113,Goldeneye,Pinot Noir Rosé 2017,"United States
·
California",4.3,View shops
114,Domaine Hippolyte Reverdy,Sancerre Rosé 2018,"France
·
Upper Loire",4.3,View shops
115,Alain Girard & Fils,Sancerre Rosé N.V.,"France
·
Sancerre",4.3,View shops
116,Lieu Dit,Pinot Noir Rosé 2017,"United States
·
Santa Barbara County",4.3,View shops
117,Minuty,Rosé et Or 2017,"France
·
Côtes de Provence",4.3,View shops
118,Minuty,Rosé et Or N.V.,"France
·
Côtes de Provence",4.2,View shops
119,Domaines Ott,Château Romassan Rosé (Coeur de Grain) N.V.,"France
·
Bandol",4.2,View shops
120,Domaine Tempier,Bandol Rosé N.V.,"France
·
Bandol",4.2,View shops
121,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) N.V.,"France
·
Côtes de Provence",4.2,View shops
122,Château d'Esclans,Les Clans Rosé N.V.,"France
·
Côtes de Provence",4.2,View shops
123,Frank Cornelissen,Susucaru 2017,"Italy
·
Terre Siciliane",4.2,View shops
124,Minuty,Rosé et Or 2016,"France
·
Côtes de Provence",4.2,View shops
125,Domaine Tempier,Bandol Rosé 2016,"France
·
Bandol",4.2,View shops
126,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2015,"France
·
Bandol",4.2,View shops
127,Frank Cornelissen,Susucaru 2018,"Italy
·
Terre Siciliane",4.2,View shops
128,Domaine Tempier,Bandol Rosé 2015,"France
·
Bandol",4.2,View shops
129,Domaines Ott,Clos Mireille Rosé (Coeur de Grain) 2016,"France
·
Côtes de Provence",4.2,View shops
130,Domaine Tempier,Bandol Rosé 2017,"France
·
Bandol",4.2,View shops
131,Clos Cibonne,Tibouren Tradition Rosé 2016,"France
·
Côtes de Provence",4.2,View shops
132,Clos Cibonne,Tibouren Tradition Rosé 2015,"France
·
Côtes de Provence",4.2,View shops
133,Gut Oggau,Winifred Rosé 2017,"Austria
·
Weinland",4.2,View shops
134,Domaine Tempier,Bandol Rosé 2014,"France
·
Bandol",4.2,View shops
135,Gut Oggau,Winifred Rosé 2018,"Austria
·
Weinland",4.2,View shops
136,Long Meadow Ranch,Anderson Valley Rosé of Pinot Noir N.V.,"United States
·
Anderson Valley",4.2,View shops
137,Manincor,La Rosé de Manincor 2017,"Italy
·
Vigneti delle Dolomiti",4.2,View shops
138,Domaines Ott,Château Romassan Rosé (Coeur de Grain) 2012,"France
·
Bandol",4.2,View shops
139,Gut Oggau,Rosé (Family Reunion) 2016,"Austria
·
Weinland",4.2,View shops
140,Scala Dei,Pla del Àngels Rosado 2017,"Spain
·
Priorat",4.2,View shops
141,Château d'Esclans,Les Clans Rosé 2016,"France
·
Côtes de Provence",4.2,View shops
142,Château Simone,Palette Rose 2015,"France
·
Palette",4.2,View shops
143,Saffron Fields,Pinot Noir Rosé N.V.,"United States
·
Willamette Valley",4.2,View shops
144,Chêne Bleu,Rosé 2017,"France
·
Vaucluse",4.2,View shops
145,Rimauresq,Côtes de Provence Rosé (Cru Classé) 2017,"France
·
Côtes de Provence",4.2,View shops
146,Château d'Esclans,Les Clans Rosé 2017,"France
·
Côtes de Provence",4.2,View shops
147,Franz Haas,Moscato Rosa Schweizer 2013,"Italy
·
Südtirol - Alto Adige",4.2,View shops
148,Valentini,Cerasuolo Montepulciano d'Abruzzo Rosé 2016,"Italy
·
Cerasuolo d'Abruzzo",4.2,View shops
149,Matthiasson,Rosé 2015,"United States
·
Napa Valley",4.2,View shops
150,Valentini,Cerasuolo Montepulciano d'Abruzzo Rosé 2014,"Italy
·
Cerasuolo d'Abruzzo",4.2,View shops
151,St.Reginald Parish,The Marigny Pinot Noir Rosé N.V.,"United States
·
Willamette Valley",4.2,View shops
152,Château de Saint Martin,Eternelle Favorite Rosé 2017,"France
·
Côtes de Provence",4.2,View shops
153,Terroir Al Límit Soc. Lda,Roc d'Aubaga Rosé 2016,"Spain
·
Priorat",4.2,View shops
