,winery,wine,location,rating,price
0,Dom Pérignon,Brut Rosé Champagne 1993,"France
·
Champagne",4.7,$450
1,Ruinart,Dom Ruinart Brut Champagne 2002,"France
·
Champagne",4.5,$449.99
2,Piper-Heidsieck,Rare Brut Rosé Champagne (Millesimé) 2007,"France
·
Champagne",4.5,$448.99
3,Armand de Brignac,Brut Rosé Champagne N.V.,"France
·
Champagne",4.5,$429.99
4,Pol Roger,Sir Winston Churchill Brut Champagne 2002,"France
·
Champagne",4.6,$399.99
5,Louis Roederer,Cristal Brut Champagne (Millésimé) 2002,"France
·
Champagne",4.6,$399.99
6,Dom Pérignon,Brut Champagne 1996,"France
·
Champagne",4.7,$399
7,Dom Pérignon,Brut Rosé Champagne 2002,"France
·
Champagne",4.6,$389.99
8,Armand de Brignac,Demi-Sec Champagne N.V.,"France
·
Champagne",4.4,$369.99
9,Dom Pérignon,Brut Rosé Champagne 2004,"France
·
Champagne",4.5,$369.99
10,Perrier-Jouët,Belle Epoque Blanc de Blancs Champagne N.V.,"France
·
Champagne",4.5,$355
11,Dom Pérignon,P2 Plénitude Brut Champagne 2002,"France
·
Champagne",4.7,$349.99
12,Dom Pérignon,Brut Rosé Champagne N.V.,"France
·
Champagne",4.6,$349.99
13,Dom Pérignon,Brut Rosé Champagne 2005,"France
·
Champagne",4.5,$349.99
14,Krug,Brut Rosé Champagne N.V.,"France
·
Champagne",4.6,$340
15,Taittinger,Comtes de Champagne Rosé 2006,"France
·
Champagne",4.4,$339.99
16,Louis Roederer,Cristal Brut Champagne (Millésimé) 2012,"France
·
Champagne",4.3,$329.99
17,Vilmart & Cie,Grand Cellier d'Or Brut Champagne Premier Cru 2010,"France
·
Champagne Premier Cru",4.2,$329.99
18,Dom Pérignon,Brut Rosé Champagne 2006,"France
·
Champagne",4.6,$329.95
19,Ruinart,Dom Ruinart Rosé Brut Champagne 2004,"France
·
Champagne",4.6,$319.99
20,Pol Roger,Sir Winston Churchill Brut Champagne N.V.,"France
·
Champagne",4.6,$319.99
21,Perrier-Jouët,Belle Epoque Rosé Brut Champagne N.V.,"France
·
Champagne",4.5,$300
22,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2004,"France
·
Champagne",4.6,$299.99
23,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2006,"France
·
Champagne",4.5,$299.99
24,Louis Roederer,Cristal Brut Champagne (Millésimé) 2005,"France
·
Champagne",4.6,$299.99
25,Laurent-Perrier,Alexandra Champagne Rosé (Grande Cuvée) 2004,"France
·
Champagne",4.6,$299.99
26,Perrier-Jouët,Belle Epoque Brut Champagne 1990,"France
·
Champagne",4.5,$299.99
27,Louis Roederer,Cristal Brut Champagne (Millésimé) 2007,"France
·
Champagne",4.6,$299.99
28,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 1998,"France
·
Champagne",4.7,$299.99
29,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2004,"France
·
Champagne",4.5,$299.99
30,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2010,"France
·
Champagne",4.1,$299.99
31,Pol Roger,Sir Winston Churchill Brut Champagne 2008,"France
·
Champagne",4.6,$299.99
32,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2006,"France
·
Champagne",4.6,$299.99
33,Krug,Brut Champagne 2004,"France
·
Champagne",4.6,$289.99
34,Armand de Brignac,Brut Champagne (Gold) N.V.,"France
·
Champagne",4.4,$289.95
35,Marc Hébrart,Spécial Club Brut Champagne Premier Cru 2012,"France
·
Champagne Premier Cru",4.3,$279.99
36,Louis Roederer,Cristal Brut Champagne (Millésimé) N.V.,"France
·
Champagne",4.6,$279.99
37,De Venoge,Grand Vin des Princes Brut Champagne 1992,"France
·
Champagne",4.3,$275
38,Nicolas Feuillatte,Palmes d'Or Cuvée Brut Rosé Champagne 2006,"France
·
Champagne",4.4,$269.99
39,Taittinger,Comtes de Champagne Rosé 2005,"France
·
Champagne",4.5,$269.99
40,Krug,Brut Champagne 2003,"France
·
Champagne",4.5,$259.99
41,Bollinger,R.D Extra Brut Champagne (Récemment Dégorgé) 2004,"France
·
Champagne",4.6,$249.98
42,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2008,"France
·
Champagne",4.5,$249.90
43,Pierre Gimonnet & Fils,Millésimé de Collection Vieilles Vignes de Chardonnay Brut Champagne 2006,"France
·
Champagne",4.3,$239.99
44,Louis Roederer,Cristal Brut Champagne (Millésimé) 2008,"France
·
Champagne",4.6,$238
45,Gramona,Cava Enoteca Finca La Plana Brut Nature 2001,"Spain
·
Cava",4.6,$234.99
46,Louis Roederer,Cristal Brut Champagne (Millésimé) 2009,"France
·
Champagne",4.6,$229.99
47,Billecart-Salmon,Cuvée Nicolas François Billecart Brut Champagne 2002,"France
·
Champagne",4.4,$224.99
48,Lanson,Brut Vintage (Gold Label) Champagne 2004,"France
·
Champagne",4.1,$223.99
49,Agrapart & Fils,Expérience Brut Champagne N.V.,"France
·
Champagne",4.3,$219.98
50,Dom Pérignon,Brut Champagne 2002,"France
·
Champagne",4.6,$209
51,Deutz,Amour de Deutz Millésime Brut Champagne 2008,"France
·
Champagne",4.5,$207.99
52,Deutz,Amour de Deutz Millésime Brut Champagne 2009,"France
·
Champagne",4.5,$207.99
53,Piper-Heidsieck,Rare Brut Champagne (Millesimé) 2002,"France
·
Champagne",4.5,$199.99
54,Gosset,Extra Brut Celebris Rosé Champagne 2007,"France
·
Champagne",4.2,$199.99
