,winery,wine,location,rating,price
0,Dom Pérignon,Brut Champagne N.V.,"France
·
Champagne",4.6,$179.94
1,Veuve Clicquot,Brut (Carte Jaune) Champagne N.V.,"France
·
Champagne",4.2,$45.98
2,Moët & Chandon,Impérial Brut Champagne N.V.,"France
·
Champagne",4.1,$29.99
3,Louis Roederer,Brut Premier Champagne N.V.,"France
·
Champagne Premier Cru",4.2,$39.82
4,Bollinger,Special Cuvée Brut Aÿ Champagne N.V.,"France
·
Champagne",4.2,$54.93
5,Taittinger,Brut (Réserve) Champagne N.V.,"France
·
Champagne",4.1,$49.98
6,Perrier-Jouët,Grand Brut Champagne N.V.,"France
·
Champagne Grand Cru",4.1,$41.99
7,Louis Roederer,Cristal Brut Champagne (Millésimé) N.V.,"France
·
Champagne",4.6,$279.99
8,Laurent-Perrier,Brut Champagne N.V.,"France
·
Champagne",4.0,$39.98
9,Laurent-Perrier,Brut Cuvée Champagne Rosé N.V.,"France
·
Champagne",4.3,$69.95
10,Moët & Chandon,Impérial Rosé Brut Champagne N.V.,"France
·
Champagne",4.1,$49.99
11,La Marca,Prosecco N.V.,"Italy
·
Prosecco",3.8,$11.97
12,G.H. Mumm,(Cordon Rouge) Brut Champagne N.V.,"France
·
Champagne",3.9,$32.98
13,Ruinart,Blanc de Blancs Brut Champagne N.V.,"France
·
Champagne",4.3,$74.95
14,Juvé & Camps,Cava Gran Reserva Brut Nature Reserva de la Familia N.V.,"Spain
·
Cava",3.9,$17.99
15,Pol Roger,Réserve Brut Champagne N.V.,"France
·
Champagne",4.2,$42.99
16,Ca' del Bosco,Franciacorta Cuvée Prestige N.V.,"Italy
·
Franciacorta",4.1,$38.99
17,Freixenet,Cordón Negro Gran Seleccion cava N.V.,"Spain
·
Cava",3.6,$12.99
18,Pommery,Royal Brut Champagne N.V.,"France
·
Champagne",3.9,$39.99
19,Dom Pérignon,Brut Champagne 2006,"France
·
Champagne",4.5,$199.99
20,Billecart-Salmon,Brut Réserve Champagne N.V.,"France
·
Champagne",4.2,$42.99
21,Deutz,Classic Brut Champagne N.V.,"France
·
Champagne",4.0,$49.99
22,Martini,Asti N.V.,"Italy
·
Asti",3.8,$11.99
23,Ferrari,Trento Brut N.V.,"Italy
·
Trento",3.7,$21.99
24,Krug,Grande Cuvée Brut Champagne N.V.,"France
·
Champagne",4.6,$159.99
25,Pol Roger,Brut Champagne (Extra Cuvée de Réserve) N.V.,"France
·
Champagne",4.3,$56.99
26,Moët & Chandon,Grand Vintage Brut Champagne N.V.,"France
·
Champagne",4.2,$69.94
27,Billecart-Salmon,Brut Rosé Champagne N.V.,"France
·
Champagne",4.4,$72.99
28,Veuve Clicquot,Brut Rosé Champagne N.V.,"France
·
Champagne",4.3,$54.99
29,Lanson,Black Label Champagne Brut N.V.,"France
·
Champagne",3.8,$39.93
30,Roscato,Rosso Dolce (Sweet Red) N.V.,"Italy
·
Provincia di Pavia",4.2,$10.95
31,Charles Heidsieck,Brut Réserve Champagne N.V.,"France
·
Champagne",4.1,$49.92
32,Moët & Chandon,Nectar Impérial (Demi-Sec) Champagne N.V.,"France
·
Champagne",4.2,$49.98
33,Perrier-Jouët,Belle Epoque Brut Champagne N.V.,"France
·
Champagne",4.4,$149.99
34,Piper-Heidsieck,Brut Champagne N.V.,"France
·
Champagne",3.9,$44.99
35,Dom Pérignon,Brut Champagne 2009,"France
·
Champagne",4.5,$159.98
36,Veuve Clicquot,La Grande Dame Brut Champagne N.V.,"France
·
Champagne",4.5,$169.90
37,Ruinart,Brut Rosé Champagne N.V.,"France
·
Champagne",4.3,$69.99
38,Moët & Chandon,Ice Impérial (Demi-Sec) Champagne N.V.,"France
·
Champagne",4.2,$62.99
39,Segura Viudas,Cava Reserva Heredad Brut N.V.,"Spain
·
Cava",3.9,$22.99
40,Dom Pérignon,Brut Rosé Champagne N.V.,"France
·
Champagne",4.6,$349.99
41,Philipponnat,Royale Réservé Brut Champagne N.V.,"France
·
Champagne",4.1,$54.99
42,Saracco,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.1,$16.49
43,Louis Roederer,Rosé Brut Champagne (Vintage) N.V.,"France
·
Champagne",4.2,$70.39
44,Ruffino,Prosecco N.V.,"Italy
·
Prosecco",3.7,$13.99
45,Carpenè Malvolti,Prosecco Superiore Conegliano Valdobbiadene Extra Dry N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.7,$17.99
46,Henriot,Souverain Brut Champagne N.V.,"France
·
Champagne",4.0,$31.99
47,Nicolas Feuillatte,Réserve Brut Champagne N.V.,"France
·
Champagne",3.8,$29.99
48,Bollinger,Rosé Brut Champagne N.V.,"France
·
Champagne",4.2,$79.99
49,Casa Valduga,130 Brut Espumante N.V.,"Brazil
·
Vale dos Vinhedos",4.0,$39.99
50,Andre Clouet,Grande Réserve Brut Champagne Grand Cru 'Bouzy' N.V.,"France
·
Champagne Grand Cru 'Bouzy'",3.9,$49.95
51,Drappier,Carte d'Or Brut Champagne N.V.,"France
·
Champagne",3.9,$44.99
52,Martini,Prosecco N.V.,"Italy
·
Prosecco",3.6,$12.99
53,Perrier-Jouët,Blason Rosé Brut Champagne N.V.,"France
·
Champagne",4.2,$64.94
54,Dom Pérignon,Brut Champagne 2002,"France
·
Champagne",4.6,$209
55,Gosset,Grande Réserve Brut Champagne N.V.,"France
·
Champagne",4.1,$44.99
56,Bellavista,Alma Gran Cuvée Brut N.V.,"Italy
·
Franciacorta",3.9,$34.99
57,Pol Roger,Sir Winston Churchill Brut Champagne N.V.,"France
·
Champagne",4.6,$319.99
58,Ruinart,Dom Ruinart Blanc de Blancs Brut Champagne N.V.,"France
·
Champagne",4.4,$74.95
59,Mionetto,Prestige Collection Brut Prosecco Treviso N.V.,"Italy
·
Prosecco di Treviso",3.6,$14.99
60,Mumm Napa,Brut Prestige N.V.,"United States
·
Napa Valley",3.7,$18.99
61,Taittinger,Brut La Francaise Champagne N.V.,"France
·
Champagne",4.2,$34.95
62,Santa Margherita,Valdobbiadene Prosecco Superiore N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.7,$21.44
63,Jacquart,Mosaïque Brut Champagne N.V.,"France
·
Champagne",3.8,$44.99
64,Montaudon,Brut Champagne N.V.,"France
·
Champagne",3.9,$34.99
65,Castello del Poggio,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.3,$10.99
66,Ayala,Brut Majeur Aÿ Champagne N.V.,"France
·
Champagne",3.8,$32.99
67,Riondo,Prosecco Spago Nero N.V.,"Italy
·
Prosecco",3.9,$11.98
