,winery,wine,location,rating,price
0,Dom Pérignon,Brut Champagne 1996,"France
·
Champagne",4.7,$399
1,Dom Pérignon,P2 Plénitude Brut Champagne 2002,"France
·
Champagne",4.7,$349.99
2,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 1998,"France
·
Champagne",4.7,$299.99
3,Dom Pérignon,Brut Rosé Champagne 1993,"France
·
Champagne",4.7,$450
4,Schramsberg,J. Schram Brut Rosé 2010,"United States
·
North Coast",4.7,$177.99
5,Louis Roederer,Cristal Brut Champagne (Millésimé) 2009,"France
·
Champagne",4.6,$229.99
6,Louis Roederer,Cristal Brut Champagne (Millésimé) N.V.,"France
·
Champagne",4.6,$279.99
7,Krug,Grande Cuvée Brut Champagne N.V.,"France
·
Champagne",4.6,$159.99
8,Dom Pérignon,Brut Rosé Champagne N.V.,"France
·
Champagne",4.6,$349.99
9,Dom Pérignon,Brut Champagne 2002,"France
·
Champagne",4.6,$209
10,Pol Roger,Sir Winston Churchill Brut Champagne N.V.,"France
·
Champagne",4.6,$319.99
11,Dom Pérignon,Brut Champagne 2008,"France
·
Champagne",4.6,$169.99
12,Dom Pérignon,Brut Champagne N.V.,"France
·
Champagne",4.6,$179.94
13,Louis Roederer,Cristal Brut Champagne (Millésimé) 2007,"France
·
Champagne",4.6,$299.99
14,Louis Roederer,Cristal Brut Champagne (Millésimé) 2002,"France
·
Champagne",4.6,$399.99
15,Louis Roederer,Cristal Brut Champagne (Millésimé) 2008,"France
·
Champagne",4.6,$238
16,Louis Roederer,Cristal Brut Champagne (Millésimé) 2005,"France
·
Champagne",4.6,$299.99
17,Krug,Brut Rosé Champagne N.V.,"France
·
Champagne",4.6,$340
18,Bollinger,R.D Extra Brut Champagne (Récemment Dégorgé) 2002,"France
·
Champagne",4.6,$199.99
19,Krug,Brut Champagne 2004,"France
·
Champagne",4.6,$289.99
20,Dom Pérignon,Brut Rosé Champagne 2006,"France
·
Champagne",4.6,$329.95
21,Pol Roger,Sir Winston Churchill Brut Champagne 2002,"France
·
Champagne",4.6,$399.99
22,Bollinger,R.D Extra Brut Champagne (Récemment Dégorgé) 2004,"France
·
Champagne",4.6,$249.98
23,Pol Roger,Sir Winston Churchill Brut Champagne 2008,"France
·
Champagne",4.6,$299.99
24,Dom Pérignon,Brut Rosé Champagne 2002,"France
·
Champagne",4.6,$389.99
25,Laurent-Perrier,Alexandra Champagne Rosé (Grande Cuvée) 2004,"France
·
Champagne",4.6,$299.99
26,Perrier-Jouët,Belle Epoque Rosé Brut Champagne 2004,"France
·
Champagne",4.6,$299.99
27,Altaneve,Prosecco Superiore N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco Superiore",4.6,$22.90
28,Domaine Carneros,Le Rêve Blanc de Blancs 2012,"United States
·
Los Carneros",4.6,$143.99
29,Ruinart,Dom Ruinart Rosé Brut Champagne 2004,"France
·
Champagne",4.6,$319.99
30,Veuve Clicquot,La Grande Dame Brut Rosé Champagne 2006,"France
·
Champagne",4.6,$299.99
31,Alexandrie Cellars,Alexandrie Brut N.V.,"United States
·
Rutherford",4.6,$26.99
32,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru 1998,"France
·
Champagne Grand Cru",4.6,$149.99
