,winery,wine,location,rating,price
0,Domaine Roulot,Meursault 1er Cru 'Clos des Bouchères' Monopole 2015,"France
·
Meursault 1er Cru 'Les Bouchères'",4.5,$449.99
1,Domaine Michel Niellon,Chevalier-Montrachet Grand Cru 2011,"France
·
Chevalier-Montrachet Grand Cru",4.7,$449.99
2,Louis Latour,Chevalier-Montrachet Grand Cru Les Demoiselles N.V.,"France
·
Chevalier-Montrachet Grand Cru",4.3,$439.99
3,Domaine Jean-Louis Chave,Selection Hermitage Blanche 2013,"France
·
Hermitage",4.2,$429.99
4,Château-Grillet,Blanc 2012,"France
·
Château-Grillet",4.3,$399.99
5,E. Guigal,Ermitage Ex-Voto Blanc 2010,"France
·
Hermitage",4.3,$399.99
6,Louis Latour,Bâtard-Montrachet Grand Cru 2015,"France
·
Bâtard-Montrachet Grand Cru",4.4,$368.99
7,Bouchard Père & Fils,Chevalier-Montrachet Grand Cru Blanc N.V.,"France
·
Chevalier-Montrachet Grand Cru",4.4,$362.98
8,M. Chapoutier,Ermitage de l'Orée 2014,"France
·
Hermitage",4.3,$355.99
9,Domaine Jean-Louis Chave,Selection Hermitage Blanche 2002,"France
·
Hermitage",3.9,$350
10,Château-Grillet,Blanc 2001,"France
·
Château-Grillet",4.1,$350
11,Château-Grillet,Blanc 1998,"France
·
Château-Grillet",4.4,$350
12,Château La Mission Haut-Brion,Pessac-Léognan Blanc (Château Laville Haut-Brion) (Grand Cru Classé de Graves) 1985,"France
·
Pessac-Léognan",4.2,$350
13,Raveneau,Chablis Premier Cru 'Montée de Tonnerre' 2013,"France
·
Chablis 1er Cru 'Montee de Tonnerre'",4.4,$349.99
14,Bonneau du Martray,Corton-Charlemagne Grand Cru 2016,"France
·
Corton-Charlemagne Grand Cru",4.6,$349.99
15,Olivier Leflaive,Bâtard-Montrachet Grand Cru 2010,"France
·
Bâtard-Montrachet Grand Cru",4.4,$349.98
16,Gaja,Gaia & Rey Langhe 2016,"Italy
·
Langhe",4.5,$299.99
17,Gaja,Gaia & Rey Langhe 2017,"Italy
·
Langhe",4.5,$277.90
18,Rafael Palacios,Sorte O Soro Val do Bibei 2016,"Spain
·
Valdeorras",4.6,$266.99
19,Querciabella,Toscana Batar 2013,"Italy
·
Toscana",4.3,$255.99
20,Château Pape Clément,Pessac-Léognan Blanc 2012,"France
·
Pessac-Léognan",4.0,$251.99
21,Trimbach,Riesling Alsace Cuvée Frédéric Emile 2001,"France
·
Alsace",4.1,$250
